QuestionID,Question,Answer,Document
Q40,how does interlibrary loan work,question_answering,Interlibrary loan
Q41,what did mia hamm do his work,question_answering,Mia Hamm
Q42,what bacteria grow on macconkey agar,question_answering,MacConkey agar
Q43,what countries are under the buddhism religion,question_answering,Buddhism by country
Q44,how did wild bill's father die,question_answering,Wild Bill Hickok
Q45,how many land rovers have landed on mars,question_answering,Mars rover
Q46,how do forensic auditors examine financial reporting,question_answering,Financial audit
Q47,how do forensic auditors examine financial reporting,question_answering,Financial audit
Q48,how do forensic auditors examine financial reporting,question_answering,Financial audit
Q49,what bird family is the owl,question_answering,Owl
Q50,how did harmon killebrew get strong,question_answering,Harmon Killebrew
Q51,What did the augurs use to interpret the will of the gods?,question_answering,Augur
Q52,How much did Waterboy grossed,question_answering,The Waterboy
Q53,"What county is Farmington Hills, MI in?",question_answering,"Farmington Hills, Michigan"
Q54,what does a groundhog look for on groundhog day,question_answering,Groundhog Day
Q55,What committees are joint committees,question_answering,Joint committee
Q56,how many stripes on the flag,question_answering,Flag of the United States
Q57,How many states and territories are within India?,question_answering,States and territories of India
Q58,how is whooping cough distinguished from similar diseases,question_answering,Pertussis
Q59,how is whooping cough distinguished from similar diseases,question_answering,Pertussis
Q60,what county is galveston in texas,question_answering,"Galveston County, Texas"
Q61,what cities are in the bahamas,question_answering,List of cities in the Bahamas
Q62,what cities are in the bahamas,question_answering,List of cities in the Bahamas
Q63,how many schools are in the big ten,question_answering,Big Ten Conference
Q64,how is single malt scotch made,question_answering,Single malt Scotch
Q65,how is single malt scotch made,question_answering,Single malt Scotch
Q66,what composer used sound mass,question_answering,Sound mass
Q67,what composer used sound mass,question_answering,Sound mass
Q68,what composer used sound mass,question_answering,Sound mass
Q69,what composer used sound mass,question_answering,Sound mass
Q70,what composer used sound mass,question_answering,Sound mass
Q71,what composer used sound mass,question_answering,Sound mass
Q72,what composer used sound mass,question_answering,Sound mass
Q73,How Do You Play Spades,question_answering,Spades
Q74,what continent is australia,question_answering,Australia (continent)
Q75,what causes heart disease,question_answering,Cardiovascular disease
Q76,what countries did immigrants come from during the immigration,question_answering,History of immigration to the United States
Q77,what countries did immigrants come from during the immigration,question_answering,History of immigration to the United States
Q78,how many people live in atlanta georgia,question_answering,Atlanta
Q79,how many people live in atlanta georgia,question_answering,Atlanta
Q80,what does it mean to be a commonwealth state,question_answering,Commonwealth
Q81,how long can you be in the supreme court,question_answering,Supreme Court of the United States
Q82,what county in texas is conroe located in,question_answering,"Conroe, Texas"
Q83,what can sql 2005 do,question_answering,Microsoft SQL Server
Q84,how many people were killed in the oklahoma city bombing,question_answering,Oklahoma City bombing
Q85,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,question_answering,ARIA Music Awards
Q86,how does a dredge work?,question_answering,Dredging
Q87,how does a dredge work?,question_answering,Dredging
Q88,how does a dredge work?,question_answering,Dredging
Q89,how does a dredge work?,question_answering,Dredging
Q90,how does a dredge work?,question_answering,Dredging
Q91,what did benedict arnold die,question_answering,Benedict arnold
Q92,how many world series did curt schilling have,question_answering,Curt Schilling
Q93,how many ports are there in networking,question_answering,Port (computer networking)
Q94,what area code is 479,question_answering,Area code 479
Q95,what area code is 479,question_answering,Area code 479
Q96,what does arraignment mean,question_answering,Arraignment
Q97,what did chaucer do,question_answering,Geoffrey Chaucer
Q98,what did chaucer do,question_answering,Geoffrey Chaucer
Q99,what does am and pm stand for,question_answering,12-hour clock
Q100,how is canada's health care,question_answering,Comparison of the health care systems in Canada and the United States
Q101,how many xbox 360 games are there,question_answering,List of Xbox 360 games
Q102,how do pineapples grow,question_answering,Pineapple
Q103,what country did wine originate in,question_answering,History of wine
Q104,how many district are in west bengal,question_answering,List of districts of West Bengal
Q105,how many towns in new hampshire,question_answering,List of cities and towns in New Hampshire
Q106,what does salesforce.com do?,question_answering,Salesforce.com
Q107,what does 1 year mean to the planet,question_answering,Earth
Q108,what is feedback mechanism in plants during respiration,question_answering,Cellular respiration
Q109,how fire extinguisher works,question_answering,Fire extinguisher
Q110,what does righteousness mean,question_answering,Righteousness
Q111,what does righteousness mean,question_answering,Righteousness
Q112,what countries are in central america?,question_answering,Central america
Q113,how does a steam engine work,question_answering,Steam engine
Q114,how does a steam engine work,question_answering,Steam engine
Q115,what county is tacoma washington in,question_answering,"Tacoma, Washington"
Q116,what county is chula vista ca in,question_answering,"Chula Vista, California"
Q117,what did isaac newton do,question_answering,Isaac Newton
Q118,what does the universal law of gravitation state,question_answering,Newton's law of universal gravitation
Q119,how does a dim sum restaurant work,question_answering,Dim sum
Q120,how does a dim sum restaurant work,question_answering,Dim sum
Q121,how does a dim sum restaurant work,question_answering,Dim sum
Q122,how many US soldiers killed in Iraq war,question_answering,Casualties of the Iraq War
Q123,how many planets is jupiter away from the sun?,question_answering,Jupiter
Q124,what city was the convention when gerald ford was nominated,question_answering,1976 Republican National Convention
Q125,how many professional hockey teams in canada,question_answering,National Hockey League
Q126,what county is northville mi,question_answering,"Northville, Michigan"
Q127,what county is northville mi,question_answering,"Northville, Michigan"
Q128,how many games did brett favre start in a row,question_answering,Brett Favre
Q129,what does a vote to table a motion mean?,question_answering,Table (parliamentary procedure)
Q130,What does the class mean for SDHC cards?,question_answering,Secure Digital
Q131,what do porcupines eat,question_answering,Porcupine
Q132,what did elijah mccoy invent,question_answering,Elijah McCoy
Q133,how many apple store are there in total?,question_answering,Apple Store
Q134,What does the idea of effective nuclear charge tell us,question_answering,Effective nuclear charge
Q135,how is jerky made,question_answering,Jerky
Q136,how is jerky made,question_answering,Jerky
Q137,what domain is eu,question_answering,.eu
Q138,"What does the name ""Meister"" mean in German",question_answering,Meister
Q139,what happened on the moon during the period of Late Heavy Bombardment?,question_answering,Late Heavy Bombardment
Q140,How did Edgar Allan Poe die?,question_answering,Edgar allan poe
Q141,what did tycho brahe do,question_answering,Tycho Brahe
Q142,what did tycho brahe do,question_answering,Tycho Brahe
Q143,how many seasons heroes,question_answering,Heroes (TV series)
Q144,what holiday is first weekend of september,question_answering,Labor day
Q145,how old r Dylan and Cole Sprouse,question_answering,Dylan and Cole Sprouse
Q146,what does life insurance cover?,question_answering,Life insurance
Q147,what does life insurance cover?,question_answering,Life insurance
Q148,what does life insurance cover?,question_answering,Life insurance
Q149,how many days does the chinese new year last,question_answering,Chinese New Year
Q150,what does s.h.i.e.l.d stand for,question_answering,S.H.I.E.L.D.
Q151,how many consoles has xbox 360 sold,question_answering,Xbox 360
Q152,how is a backpack made,question_answering,Backpack
Q153,WHAT COUNTRY IS MEXICO IN,question_answering,Mexico
Q154,how is slugging percentage calculated,question_answering,Slugging percentage
Q155,what day is st. patricks day,question_answering,Saint Patrick's Day
Q156,what cheese is made from goat's milk,question_answering,Goat cheese
Q157,what does the federal reserve do,question_answering,Federal Reserve System
Q158,what country is belize in,question_answering,Belize
Q159,how many books are included in the protestant Bible?,question_answering,Books of the Bible
Q160,how many stars on the first american flag,question_answering,Betsy Ross flag
Q161,how does a cat purr,question_answering,Purr
Q162,what became of rich on price is right,question_answering,Rich Fields
Q163,what became of rich on price is right,question_answering,Rich Fields
Q164,what county is St. Elizabeth MO in,question_answering,"St. Elizabeth, Missouri"
Q165,what county is wilton ca in,question_answering,"Wilton, California"
Q166,what happened to stevie ray vaughan,question_answering,Stevie Ray Vaughan
Q167,how many gold gloves does barry larkin have,question_answering,Barry Larkin
Q168,what caused ww,question_answering,Causes of World War I
Q169,how did women's role change during the war,question_answering,Women's roles in the World Wars
Q170,how many seasons were there of the wire,question_answering,The Wire
Q171,what kind of legal remedy is it to ask someone to fulfill there promise,question_answering,Contract
Q172,how is ASP.NET different from .NET,question_answering,ASP.NET
Q173,how does lsd impact the human body,question_answering,Lysergic acid diethylamide
Q174,how does lsd impact the human body,question_answering,Lysergic acid diethylamide
Q175,how does lsd impact the human body,question_answering,Lysergic acid diethylamide
Q176,how many people live in memphis tennessee,question_answering,"Memphis, Tennessee"
Q177,how many muscles in the human body,question_answering,List of muscles of the human body
Q178,how did seminole war end,question_answering,Seminole Wars
Q179,what county is orono maine in,question_answering,"Orono, Maine"
Q180,what it is a pilot study,question_answering,Pilot experiment
Q181,how many humps on a camel,question_answering,Camel
Q182,what can be powered by wind,question_answering,Wind power
Q183,how many nature oceans are on earth,question_answering,Ocean
Q184,what county is jacksonville florida in,question_answering,"Jacksonville, Florida"
Q185,what chili wants wiki,question_answering,What Chilli Wants
Q186,what does a liquid oxygen plant look like,question_answering,Liquid oxygen
Q187,what division is boise state football,question_answering,Boise State Broncos football
Q188,"What does the term ""mens rea"" mean",question_answering,Mens rea
Q189,what do UA's detect,question_answering,Drug test
Q190,how much caffeine is in a shot of espresso,question_answering,Espresso
Q191,What does Human sperm consist of?,question_answering,Semen
Q192,how did the penguins acquire sidney crosby,question_answering,Sidney Crosby
Q193,what does add my two cents mean,question_answering,My two cents
Q194,how much total wealth in USA,question_answering,Wealth in the United States
Q195,what does a plus-minus sign mean,question_answering,Plus-minus sign
Q196,what does a plus-minus sign mean,question_answering,Plus-minus sign
Q197,how was the moon formed,question_answering,Moon
Q198,how was the moon formed,question_answering,Moon
Q199,what did ronald reagan do as president,question_answering,Ronald Reagan
Q200,what does judgment as a matter of law mean,question_answering,Judgment as a matter of law
Q201,how many presidents have been assassinated,question_answering,List of United States presidential assassination attempts and plots
Q202,what does oklahoma produce,question_answering,Oklahoma
Q203,how many redwall books are there,question_answering,Redwall
Q204,what date did the american civil war start,question_answering,American Civil War
Q205,what does bruce jenner do,question_answering,Bruce Jenner
Q206,what does alkali do to liquids?,question_answering,Alkali
Q207,what area code is 217,question_answering,Area code 217
Q208,what area code is 217,question_answering,Area code 217
Q209,how jameson irish whiskey is made,question_answering,Jameson Irish Whiskey
Q210,what does gloria in excelsis deo mean,question_answering,Gloria in Excelsis Deo
Q211,how many grams in a troy ounce of gold,question_answering,Troy weight
Q212,how many grams in a troy ounce of gold,question_answering,Troy weight
Q213,How many consecutive games did Ken Jennings win?,question_answering,Ken Jennings
Q214,"what county is jennings, la",question_answering,"Jennings, Louisiana"
Q215,how does nanotechnology affect health,question_answering,Nanotechnology
Q216,how much does united states spend on health care,question_answering,Health care in the United States
Q217,what does it take to start a lodge in freemason,question_answering,Masonic Lodge
Q218,how does black pepper grow,question_answering,Black pepper
Q219,how south african leaders are elected,question_answering,President of South Africa
Q220,how was the phone invented,question_answering,Invention of the telephone
Q221,how many died in hiroshima and nagasaki,question_answering,Atomic bombings of Hiroshima and Nagasaki
Q222,what county is Holly Ridge nc in?,question_answering,"Holly Ridge, North Carolina"
Q223,what forms seasons,question_answering,Season
Q224,what forms seasons,question_answering,Season
Q225,what forms seasons,question_answering,Season
Q226,how did mohammed gandhi die,question_answering,Mahatma Gandhi
Q227,how many users do twitter have,question_answering,Twitter
Q228,what kind of books does debbie macomber writes,question_answering,Debbie Macomber
Q229,what county is catonsville md in,question_answering,"Catonsville, Maryland"
Q230,what kind of literature did john steinbeck writing,question_answering,John Steinbeck
Q231,whatever happened clint walker,question_answering,Clint Walker
Q232,what does the family leave act,question_answering,Family and Medical Leave Act of 1993
Q233,what does the family leave act,question_answering,Family and Medical Leave Act of 1993
Q234,how did the vietnam war end,question_answering,Vietnam War
Q235,How is the pothole formed,question_answering,Pothole
Q236,how much more time does chemo give to people with renal cancer,question_answering,Renal cell carcinoma
Q237,what does estee lauder do,question_answering,Est̩e Lauder Companies
Q238,how does a solid state drive work,question_answering,Solid-state drive
Q239,how does a solid state drive work,question_answering,Solid-state drive
Q240,how long did the roman empire last,question_answering,Roman Empire
Q241,how much does U.S. pay on health care per person,question_answering,Comparison of the health care systems in Canada and the United States
Q242,what creates sonic boom,question_answering,Sonic boom
Q243,how is rfid tag powered,question_answering,Radio-frequency identification
Q244,how is rfid tag powered,question_answering,Radio-frequency identification
Q245,how is rfid tag powered,question_answering,Radio-frequency identification
Q246,what city is oregon state university in,question_answering,Oregon State University
Q247,how long have kanab ambersnail been endangered?,question_answering,Kanab ambersnail
Q248,how many spanish speaking people are there in the us,question_answering,Spanish language in the United States
Q249,what does (sic) mean?,question_answering,Sic
Q250,how does sedimentary rock form,question_answering,Sedimentary rock
Q251,how many bones are in the skeletal system is composed of 306 bones,question_answering,Human skeleton
Q252,what did st.patrick do,question_answering,Saint Patrick
Q253,how do you know if something is the golden ratio,question_answering,Golden ratio
Q254,What county is NOrth Myrtle Beach in SC,question_answering,"North Myrtle Beach, South Carolina"
Q255,how much of our universe does plasma make up,question_answering,Plasma (physics)
Q256,How is a computer used?,question_answering,Computer
Q257,what does barefoot and pregnant mean,question_answering,Barefoot and pregnant
Q258,"what county is oakhurst, nj in",question_answering,"Oakhurst, New Jersey"
Q259,What did Lawrence Joshua Chamberlain do?,question_answering,Joshua Chamberlain
Q260,what circuit court is maryland,question_answering,Maryland Circuit Courts
Q261,what causes a deficiency in adenosine deaminase,question_answering,Adenosine deaminase deficiency
Q262,how often does ham station need to ID?,question_answering,Station identification
Q263,how is human height measured,question_answering,Human height
Q264,how many days are in a leap year,question_answering,Leap year
Q265,what does a timing belt do,question_answering,Timing belt
Q266,what county is bethlehem pa in,question_answering,"Bethlehem, Pennsylvania"
Q267,what countries legalize marijuana,question_answering,Legality of cannabis
Q268,how many albums has dmx sold to this date,question_answering,DMX (rapper)
Q269,what channel is shopnbc on,question_answering,ShopNBC
Q270,how post and lintels are used,question_answering,Post and lintel
Q271,what do mucous membranes secrete,question_answering,Mucous membrane
Q272,what company is cricket wireless by,question_answering,Cricket Wireless
Q273,how many numbers on a credit card,question_answering,Bank card number
Q274,what county is Cambria WI in,question_answering,"Cambria, Wisconsin"
Q275,how is public policy created,question_answering,Public policy
Q276,how many wives did henry the 8th have,question_answering,Henry VIII of England
Q277,what country are bongo drums from?,question_answering,Bongo drum
Q278,how many books in bible,question_answering,Books of the Bible
Q279,HOW MANY STRIPES ARE ON THE AMERICAN FLAG,question_answering,Flag of the United States
Q280,HOW MANY STRIPES ARE ON THE AMERICAN FLAG,question_answering,Flag of the United States
Q281,what do biologists do,question_answering,Biologist
Q282,what does base jumping stand for,question_answering,BASE jumping
Q283,what does base jumping stand for,question_answering,BASE jumping
Q284,What country is the largest stalagmite,question_answering,Stalagmite
Q285,what does Gringo mean,question_answering,Gringo
Q286,what does Gringo mean,question_answering,Gringo
Q287,what does hair testing show,question_answering,Drug test
Q288,what does freedom of speech cover,question_answering,Freedom of speech
Q289,what hormones produce thyroid,question_answering,Thyroid hormone
Q290,what does automatic paper feeder on printers mean,question_answering,Automatic Document Feeder
Q291,what county is san jose in?,question_answering,"San Jose, California"
Q292,what cars have smart key systems,question_answering,Smart key
Q293,how old a child pedophile crime,question_answering,Pedophilia
Q294,how many people were killed in the holocaust,question_answering,The Holocaust
Q295,how did John F. Kennedy die?,question_answering,John F. Kennedy
Q296,how many members are in the house of representatives,question_answering,United States House of Representatives
Q297,what can silk be used for,question_answering,Silk
Q298,what channel is letterman on,question_answering,Late Show with David Letterman
Q299,what does uncle sam represent to the american people,question_answering,Uncle Sam
Q300,what does karma mean in buddhism,question_answering,Karma in Buddhism
Q301,what does karma mean in buddhism,question_answering,Karma in Buddhism
Q302,what does karma mean in buddhism,question_answering,Karma in Buddhism
Q303,what do cyberstalkers do,question_answering,Cyberstalking
Q304,how do insulin syringes work,question_answering,Syringe
Q305,what kind a is tilapia,question_answering,Tilapia
Q306,how did david carradine die,question_answering,David Carradine
Q307,how many grape farms in united states,question_answering,Agriculture in the United States
Q308,what freezes faster? hot or cold water?,question_answering,Mpemba effect
Q309,what causes a small bowel obstruction,question_answering,Bowel obstruction
Q310,how many qfc stores are there,question_answering,QFC
Q311,what affects the money supply,question_answering,Money supply
Q312,how is today special?,question_answering,Today's Special
Q313,What Causes Brain Freeze,question_answering,Ice-cream headache
Q314,what does auld lang syne mean,question_answering,Auld Lang Syne
Q315,what does leeroy jenkins mean,question_answering,Leeroy Jenkins
Q316,how was the president involved in the gulf war,question_answering,Gulf War
Q317,how many times has a player hit for the cycle,question_answering,Hitting for the cycle
Q318,how many times has a player hit for the cycle,question_answering,Hitting for the cycle
Q319,how many episodes of Lost were there,question_answering,List of Lost episodes
Q320,what does it mean if i'm flat footed?,question_answering,Flat feet
Q321,what age group is generation x,question_answering,Generation X
Q322,how did James Dean die?,question_answering,James Dean
Q323,what glows in the dark,question_answering,Glow-in-the-dark
Q324,what did sparta do around 650 bc,question_answering,Sparta
Q325,what fantasy american football means,question_answering,Fantasy football (American)
Q326,how many muscles in the body,question_answering,List of muscles of the human body
Q327,how many muscles in the body,question_answering,List of muscles of the human body
Q328,how much does a gold bar weigh,question_answering,Gold bar
Q329,how much does a gold bar weigh,question_answering,Gold bar
Q330,what county is bolingbrook il in?,question_answering,"Bolingbrook, Illinois"
Q331,how many kids does archie manning have,question_answering,Archie Manning
Q332,what does an advocacy website promote?,question_answering,Advocacy
Q333,what does the green mean on the mexican flag,question_answering,Flag of Mexico
Q334,how often do elk have sex,question_answering,Elk
Q335,how many amendments in us,question_answering,United States Constitution
Q336,what city is george washington university,question_answering,George Washington University
Q337,How many Muslims live in the United Kingdom?,question_answering,Islam in the United Kingdom
Q338,How many Muslims live in the United Kingdom?,question_answering,Islam in the United Kingdom
Q339,how many players on a side for a football game,question_answering,American football
Q340,what does the temporal lobe part of the brain do,question_answering,Temporal lobe
Q341,how many lungs does a human have,question_answering,Human lung
Q342,how long to take iwo jima,question_answering,Battle of Iwo Jima
Q343,What a Margarita contains,question_answering,Margarita
Q344,what color is burgundy,question_answering,Burgundy (color)
Q345,what color is burgundy,question_answering,Burgundy (color)
Q346,what is the population of center tx,question_answering,"Center, Texas"
Q347,what causes photo red eye,question_answering,Red-eye effect
Q348,what creates a cloud,question_answering,Cloud
Q349,how many students go to santa barbara,question_answering,"University of California, Santa Barbara"
Q350,what day is the feast of st joseph's?,question_answering,Saint Joseph's Day
Q351,what culture is mariah carey,question_answering,Mariah Carey
Q352,how was color introduced in film?,question_answering,Color motion picture film
Q353,how was color introduced in film?,question_answering,Color motion picture film
Q354,what artist have song with ashanti?,question_answering,Ashanti (entertainer)
Q355,what came first army or air force,question_answering,United States Army Air Forces
Q356,what day is 2011 super bowl?,question_answering,Super Bowl XLV
Q357,what does the FOIA apply to,question_answering,Freedom of Information Act (United States)
Q358,how many countries are member of the eu?,question_answering,European Union
Q359,how many vehicles are registered in the us,question_answering,Passenger vehicles in the United States
Q360,what does a laboratory in a gynecologist office consist of,question_answering,Medical laboratory
Q361,what cards do you need in poker to get a royal flush,question_answering,List of poker hands
Q362,what does xylem transport,question_answering,Xylem
Q363,how many mvps has kobe bryant won,question_answering,Kobe Bryant
Q364,what do jehovah witnesses believe,question_answering,Jehovah's Witnesses
Q365,what do jehovah witnesses believe,question_answering,Jehovah's Witnesses
Q366,how old old is xp operating system,question_answering,Windows XP
Q367,how many pawns in chess,question_answering,Pawn (chess)
Q368,what countries allow gays to openly serve in the military,question_answering,Sexual orientation and military service
Q369,How Works Diaphragm Pump,question_answering,Diaphragm pump
Q370,how is hydrogen produced,question_answering,Hydrogen production
Q371,how many percent is a basis point,question_answering,Basis point
Q372,how many percent is a basis point,question_answering,Basis point
Q373,how many percent is a basis point,question_answering,Basis point
Q374,what genre is bloody beetroots,question_answering,The Bloody Beetroots
Q375,what country is madrid spain in,question_answering,Madrid
Q376,What causes rogue waves,question_answering,Rogue wave
Q377,what happened to montgomery clift,question_answering,Montgomery Clift
Q378,how many asian indians live in usa,question_answering,Indian American
Q379,what caused the world war 2,question_answering,Causes of World War II
Q380,what caused the world war 2,question_answering,Causes of World War II
Q381,what happened to george o'malley on grey's anatomy?,question_answering,George O'Malley
Q382,what happened to george o'malley on grey's anatomy?,question_answering,George O'Malley
Q383,what happened to george o'malley on grey's anatomy?,question_answering,George O'Malley
Q384,what happened to george o'malley on grey's anatomy?,question_answering,George O'Malley
Q385,how many people die from myasthenia gravis per year,question_answering,Myasthenia Gravis
Q386,how many rooms in borgata hotel,question_answering,The Borgata
Q387,what country has the most muslims in the world,question_answering,Islam by country
Q388,what country is dubai in,question_answering,Dubai
Q389,how much of earth is covered ocean water,question_answering,Ocean
Q390,how is root beer made?,question_answering,Root beer
Q391,how much did yankee stadium cost,question_answering,Yankee Stadium
Q392,what does informal logic mean,question_answering,Informal logic
Q393,what country is turkey in,question_answering,Turkey
Q394,what country is turkey in,question_answering,Turkey
Q395,"what county is Augusta,GA located in?",question_answering,"Augusta, Georgia"
Q396,"What happened to ""The Glades"" tv series",question_answering,The Glades (TV series)
Q397,how many albums has eminem sold in his career,question_answering,Eminem
Q398,what do pigs eat,question_answering,Pig
Q399,what does a cutter do,question_answering,Cutter (baseball)
Q400,what it takes aerosmith album,question_answering,What It Takes (song)
Q401,what it takes aerosmith album,question_answering,What It Takes (song)
Q402,what county is erie colorado,question_answering,"Erie, Colorado"
Q403,What happened during the Starving Time in Jamestown?,question_answering,Starving Time
Q404,What happened during the Starving Time in Jamestown?,question_answering,Starving Time
Q405,What happened during the Starving Time in Jamestown?,question_answering,Starving Time
Q406,what classes are considered humanities,question_answering,Humanities
Q407,what classes are considered humanities,question_answering,Humanities
Q408,what classes are considered humanities,question_answering,Humanities
Q409,what classes are considered humanities,question_answering,Humanities
Q410,what does the president of the usa do,question_answering,President of the United States
Q411,what does the president of the usa do,question_answering,President of the United States
Q412,what does the president of the usa do,question_answering,President of the United States
Q413,what food is in afghan,question_answering,Afghan cuisine
Q414,what food is in afghan,question_answering,Afghan cuisine
Q415,how kimberlite pipes form,question_answering,Volcanic pipe
Q416,how many seasons of grey's anatomy are there,question_answering,Grey's Anatomy
Q417,how is schizophrenia diagnosed?,question_answering,Schizophrenia
Q418,what kind of cut is tri tip,question_answering,Tri-tip
Q419,what kind of cut is tri tip,question_answering,Tri-tip
Q420,what county is willmar mn in?,question_answering,"Willmar, Minnesota"
Q421,what kind of company is Microsoft?,question_answering,Microsoft
Q422,how does weather happen,question_answering,Weather
Q423,how many countries have english as an official language,question_answering,List of countries where English is an official language
Q424,what countries are in cono sur,question_answering,Southern Cone
Q425,what countries are in cono sur,question_answering,Southern Cone
Q426,how many innings makes an official game,question_answering,Official game
Q427,what branch of the military is delta force,question_answering,Delta Force
Q428,what causes the seasons,question_answering,Season
Q429,what does 3g network mean,question_answering,3G
Q430,what does Mazel tov! mean,question_answering,Mazel tov
Q431,How Do You Get Hepatitis C,question_answering,Hepatitis C
Q432,how does flexible spending account work,question_answering,Flexible spending account
Q433,how tennessee became a state,question_answering,Tennessee
Q434,how many baseball teams usa,question_answering,Major league baseball
Q435,what county is coatesville indiana located in,question_answering,"Coatesville, Indiana"
Q436,how does Delaware support its claim to being the first state?,question_answering,Delaware
Q437,how many amendments in the US constitution,question_answering,List of amendments to the United States Constitution
Q438,what does fidelity do,question_answering,Fidelity Investments
Q439,what causes thunder sound,question_answering,Thunder
Q440,what causes thunder sound,question_answering,Thunder
Q441,what day is the federal holiday for Martin Luther King Jr.,question_answering,"Martin Luther King, Jr. Day"
Q442,what area code is 949,question_answering,Area code 949
Q443,what does continuous improvement mean,question_answering,Continual improvement process
Q444,what area code is 810,question_answering,Area code 810
Q445,how many babies are in a typical raccoon litter,question_answering,Raccoon
Q446,what kind of earthquake was haiti,question_answering,2010 Haiti earthquake
Q447,what kind of horse was mr ed,question_answering,Mister Ed
Q448,What does Rapture meaning in a theological sense?,question_answering,Rapture
Q449,who does chris humphries play for,question_answering,Kris Humphries
Q450,what are corporation balance,question_answering,Balance sheet
Q451,what is .17 hmr caliber,question_answering,.17 HMR
Q452,what made the civil war different from others,question_answering,American Civil War
Q453,where to buy potato bread made without wheat,question_answering,Potato bread
Q454,what year was the 8 track invented,question_answering,8-track tape
Q455,what are points on a mortgage,question_answering,Point (mortgage)
Q456,who killed julius caesar,question_answering,Julius caesar
Q457,what are  the  official languages of nigeria,question_answering,Languages of Nigeria
Q458,"who played guitar on the kiss album, creatures of the night",question_answering,Creatures of the Night
Q459,who wrote white christmas,question_answering,White Christmas (song)
Q460,what are the different types of cross country skiing,question_answering,Cross-country skiing
Q461,what are use taxes?,question_answering,Use tax
Q462,what are use taxes?,question_answering,Use tax
Q463,what are use taxes?,question_answering,Use tax
Q464,WHAT IS A FY QUARTER,question_answering,Fiscal year
Q465,who pulmonary hypertension,question_answering,Pulmonary hypertension
Q466,what is an array in programming,question_answering,Array programming
Q467,what is an array in programming,question_answering,Array programming
Q468,who wrote a rose is a rose is a rose,question_answering,Rose is a rose is a rose is a rose
Q469,what is a notary for,question_answering,Notary public
Q470,what is a notary for,question_answering,Notary public
Q471,when did the cold war start,question_answering,Cold War
Q472,what state is pike's peak in?,question_answering,Pikes Peak State Park
Q473,what state is jakarta in?,question_answering,Jakarta
Q474,what song is sung in 6 foot 7 foot,question_answering,6 Foot 7 Foot
Q475,what is a book index,question_answering,Index (publishing)
Q476,who sings the song never ending story,question_answering,The NeverEnding Story (song)
Q477,who can file suspicious activity report,question_answering,Suspicious activity report
Q478,who created facebook,question_answering,Facebook
Q479,what are the sulfas,question_answering,Sulfonamide (medicine)
Q480,what are risk for infections,question_answering,Risk of infection
Q481,who owns joe's crab shack,question_answering,Joe's Crab Shack
Q482,where do cruises dock in new york city,question_answering,New York Passenger Ship Terminal
Q483,what is a right wing christian,question_answering,Christian right
Q484,who played the lead roles in the movie leaving las vegas,question_answering,Leaving Las Vegas
Q485,what is a CMM machine,question_answering,Coordinate-measuring machine
Q486,what percentage of water in in the body,question_answering,Body water
